Date;btc_vol;eth_vol
26.05.2020;0.62667455;0.215211299
27.05.2020;0.633462201;0.205688706
28.05.2020;0.620762043;0.220590143
29.05.2020;0.61218553;0.228259024
30.05.2020;0.567061382;0.260412049
31.05.2020;0.560326716;0.246839462
1.06.2020;0.596566387;0.236459994
2.06.2020;0.610979415;0.215155218
3.06.2020;0.57556055;0.226973897
4.06.2020;0.583725413;0.229024533
5.06.2020;0.585250839;0.231364785
6.06.2020;0.591921417;0.235016592
7.06.2020;0.607736643;0.23188955
8.06.2020;0.602115857;0.226337192
9.06.2020;0.611964156;0.217936484
10.06.2020;0.634529573;0.217042291
11.06.2020;0.604990119;0.24714988
12.06.2020;0.60455193;0.237134454
13.06.2020;0.595119817;0.241974753
14.06.2020;0.607531342;0.237980374
15.06.2020;0.615349359;0.242825993
16.06.2020;0.619614468;0.228866581
17.06.2020;0.601091774;0.229423615
18.06.2020;0.608134882;0.229762376
19.06.2020;0.619119374;0.219059952
20.06.2020;0.61167708;0.223268665
21.06.2020;0.614079782;0.224421159
22.06.2020;0.592824468;0.255051111
23.06.2020;0.606878061;0.236397725
24.06.2020;0.582185955;0.270649906
25.06.2020;0.624823416;0.235295818
26.06.2020;0.601711927;0.235793509
27.06.2020;0.603391865;0.241676158
28.06.2020;0.58440857;0.249078248
29.06.2020;0.588381178;0.240426315
30.06.2020;0.607191901;0.235150704
1.07.2020;0.596484402;0.241399143
2.07.2020;0.607532191;0.23098948
3.07.2020;0.593826276;0.231966098
4.07.2020;0.575056333;0.244625188
5.07.2020;0.587925117;0.241130215
6.07.2020;0.554899946;0.272433828
7.07.2020;0.555473694;0.25853846
8.07.2020;0.534309154;0.268277481
9.07.2020;0.543148642;0.254337506
10.07.2020;0.571835924;0.246959694
11.07.2020;0.559597875;0.238329798
12.07.2020;0.570303619;0.26029986
13.07.2020;0.571732845;0.25414148
14.07.2020;0.590645387;0.240289728
15.07.2020;0.592075409;0.231278716
16.07.2020;0.594906575;0.220792705
17.07.2020;0.583222425;0.245084363
18.07.2020;0.578802918;0.254968881
19.07.2020;0.569937989;0.275361051
20.07.2020;0.599953703;0.244275161
21.07.2020;0.623779201;0.234973638
22.07.2020;0.583631354;0.271903251
23.07.2020;0.538808143;0.305275617
24.07.2020;0.537511004;0.307387351
25.07.2020;0.491025522;0.318825909
26.07.2020;0.518637243;0.303574594
27.07.2020;0.58862697;0.260426947
28.07.2020;0.573889391;0.246522886
29.07.2020;0.57369064;0.253525151
30.07.2020;0.545516897;0.282282638
31.07.2020;0.550782783;0.286101607
1.08.2020;0.522667149;0.281526636
2.08.2020;0.463131797;0.319506834
3.08.2020;0.487534225;0.30867298
4.08.2020;0.494177772;0.32758925
5.08.2020;0.552199967;0.291252228
6.08.2020;0.556050536;0.26862157
7.08.2020;0.488360554;0.269208747
8.08.2020;0.54040152;0.287300654
9.08.2020;0.539387617;0.291475229
10.08.2020;0.582341315;0.260592443
11.08.2020;0.533713492;0.252493884
12.08.2020;0.560384033;0.277430815
13.08.2020;0.510716387;0.342930217
14.08.2020;0.517010717;0.321337065
15.08.2020;0.531478255;0.282547268
16.08.2020;0.498449693;0.294681649
17.08.2020;0.544115069;0.25496452
18.08.2020;0.55925636;0.257238585
19.08.2020;0.533786535;0.286193736
20.08.2020;0.548252243;0.272914436
21.08.2020;0.554663179;0.275011004
22.08.2020;0.560653776;0.280874461
23.08.2020;0.582541752;0.256482158
24.08.2020;0.565215419;0.282282612
25.08.2020;0.582967408;0.275473791
26.08.2020;0.596737431;0.26474281
27.08.2020;0.585932623;0.263659365
28.08.2020;0.579470756;0.266831426
29.08.2020;0.561414453;0.281827917
30.08.2020;0.536743134;0.304549452
31.08.2020;0.545348356;0.312604634
1.09.2020;0.510102818;0.352303222
2.09.2020;0.502189169;0.352708665
3.09.2020;0.53755449;0.330386899
4.09.2020;0.545587558;0.30492151
5.09.2020;0.534549529;0.355600774
6.09.2020;0.511539943;0.381448313
7.09.2020;0.531385269;0.343139498
8.09.2020;0.56552795;0.304348167
9.09.2020;0.542523517;0.327109594
10.09.2020;0.587433408;0.339258056
11.09.2020;0.57557222;0.347579301
12.09.2020;0.65879087;0.238336695
13.09.2020;0.623756247;0.256390859
14.09.2020;0.58981475;0.291744896
15.09.2020;0.57487002;0.285416624
16.09.2020;0.568165176;0.297425685
17.09.2020;0.583915836;0.304563563
18.09.2020;0.571072322;0.305858401
19.09.2020;0.589253977;0.286017747
20.09.2020;0.589344265;0.293298573
21.09.2020;0.547185644;0.329585676
22.09.2020;0.587534756;0.316692038
23.09.2020;0.58867957;0.308518606
24.09.2020;0.564902118;0.330352555
25.09.2020;0.557330614;0.321660824
26.09.2020;0.546055429;0.332873508
27.09.2020;0.53756453;0.342059861
28.09.2020;0.571033221;0.304173579
29.09.2020;0.583798046;0.293513878
30.09.2020;0.597041106;0.28108751
1.10.2020;0.607025504;0.276075473
2.10.2020;0.551078386;0.308475839
3.10.2020;0.584258523;0.293926703
4.10.2020;0.559095369;0.296598911
5.10.2020;0.567666126;0.290896098
6.10.2020;0.543010207;0.280415769
7.10.2020;0.538796322;0.321948297
8.10.2020;0.56439928;0.29581886
9.10.2020;0.543251;0.2960521
10.10.2020;0.512578456;0.305120561
11.10.2020;0.497326208;0.313422043
12.10.2020;0.49763;0.31359
13.10.2020;0.52502;0.30301
14.10.2020;0.525424434;0.303413376
15.10.2020;0.518618738;0.31692864
16.10.2020;0.527687258;0.301987167
17.10.2020;0.522413126;0.29905268
18.10.2020;0.508752906;0.307397537
19.10.2020;0.556395344;0.298737864
20.10.2020;0.599258765;0.266360904
21.10.2020;0.585207731;0.272842517
22.10.2020;0.559659592;0.25417466
23.10.2020;0.542646138;0.266991907
24.10.2020;0.537003849;0.266982969
25.10.2020;0.555707189;0.247952893
26.10.2020;0.533272354;0.274328152
27.10.2020;0.582729962;0.240697421
28.10.2020;0.573909136;0.244436702
29.10.2020;0.688972072;0.157556233
30.10.2020;0.569099071;0.254724728
31.10.2020;0.611957989;0.227708112
1.11.2020;0.586698619;0.251320414
2.11.2020;0.569701359;0.259150468
3.11.2020;0.569624966;0.240064697
4.11.2020;0.577795634;0.24888059
